event_id,date,year,decade,century,description,sources,entity_count,entities,confidence,precision
670455a18706_13,1st Century,50,50,1,"mite kings, or Negus, progressively
expanded their domain, solidifying their control over the northern highlands
and the Red Sea littoral.
-- Page 3 --
Ruler
Reign (Approx.)
Key Achievements
Zoskales...",670455a18706,10,CE; Century; century; era; era,0.9,century
670455a18706_12,3rd century,250,250,3,"e Kingdom of Aksum (c. 1st-7th Century CE)
Emerging from the decline of Dʿmt, the Kingdom of Aksum rose to become one
of the great powers of the ancient world, rivaling Rome, Persia, and China by
the...",670455a18706,10,Ethiopia; Ancient; 7th; CE; Kingdom of Aksum,0.9,century
f88585105666_75,3rd century,250,250,3,"ulture: Foundations of agriculture, writing (South Arabian script), and
metallurgy.
Kingdom of Aksum (c. 1st-7th century CE)
• Overview: A major trading empire and one of the four great powers of
the...",f88585105666,10,Aksum; One; South Arabia; South Arabian; Kingdom of Aksum,0.9,century
670455a18706_17,310 CE,310,310,4,"n (Approx.)
Key Achievements
Zoskales
1st Century CE
Mentioned in the Periplus of the Erythraean Sea as the
first known king;
controlled the port of Adulis.
Endybis
__ENTITY_0028_ROMAN_NUMERAL_c. 270-...",670455a18706,10,CE; Christian; Century; century; era,1.0,year
670455a18706_14,4th century,350,350,4,"MERAL_c. 270-310 CE
First Aksumite king to
mint his own coinage
(gold, silver, and
bronze), a symbol of
sovereignty and
economic power.
Ezana
c. 320s-360 CE
Converted the kingdom
to Christianity
(mid-...",670455a18706,10,CE; Christian; Century; century; era,0.9,century
f88585105666_76,4th century,350,350,4,"rs:
- Zoskales: Mentioned in the Periplus of the Erythraean Sea.
- Gedara (GDRT): First king involved in South Arabian affairs.
- Endybis: First to mint coins.
- Ezana:
Converted to Christianity (mid-...",f88585105666,10,One; South Arabia; South Arabian; one; century,0.9,century
670455a18706_18,360 CE,360,360,4,"the port of Adulis.
Endybis
__ENTITY_0028_ROMAN_NUMERAL_c. 270-310 CE
First Aksumite king to
mint his own coinage
(gold, silver, and
bronze), a symbol of
sovereignty and
economic power.
Ezana
c. 320s-...",670455a18706,10,CE; Christian; Century; century; era,1.0,year
670455a18706_9,5th Century,450,450,5,"itical structures that would define the Ethiopian state for the next two thousand years, laying the groundwork for its
unique identity as a Christian empire in Africa.
I. The Kingdom of Dʿmt (c. 10th-...",670455a18706,10,Ethiopia; CE; two; the Kingdom of Dʿmt; Ethiopian,0.9,century
670455a18706_10,5th century,450,450,5,"Century BCE)
The Kingdom of Dʿmt (Da'amat) represents the earliest known complex, or-
ganized society in the northern Ethiopian and Eritrean highlands. Flourishing
from approximately the 10th to the...",670455a18706,10,Ethiopia; CE; the Kingdom of Dʿmt; Ethiopian; Century,0.9,century
f88585105666_73,5th century,450,450,5,"-- Page 1 --
Research Findings: Ancient & Classical Period
(Dʿmt and Aksum)
Kingdom of Dʿmt (c. 10th-5th century BCE)
• Overview: One of the earliest known civilizations in Ethiopia, centered
in Yeha....",f88585105666,10,"-- Page 1 --
Research Findings:; Period; Dʿmt; Aksum; One",0.9,century
670455a18706_19,542 CE,542,540,6,"erted the kingdom
to Christianity
(mid-4th century),
making Aksum one of
the first Christian states
in the world. Conquered
the Kingdom of Kush.
Kaleb (Ella Asbeha)
__ENTITY_0021_ROMAN_NUMERAL_c. 514-...",670455a18706,10,CE; Christian; Century; century; era,1.0,year
670455a18706_11,7th Century,650,650,7,"nd fitted masonry, stands as a testament
to the kingdom's organizational capacity and its strong links with the advanced
building techniques of the Arabian Peninsula.
II. The Kingdom of Aksum (c. 1st-...",670455a18706,10,Ancient; 7th; CE; Kingdom of Aksum; Century,0.9,century
670455a18706_15,7th century,650,650,7,"d
with the markets of India and the Far East. The state's wealth was based on
this trade, supplemented by internal resources like gold and iron.
The Decline of Aksum
The decline of Aksum began in the...",670455a18706,10,7th; CE; Century; century; century,0.9,century
f88585105666_74,7th century,650,650,7,"r palace building.
• Government: Monarchy with strong links to South Arabia (Sabaeans).
• Culture: Foundations of agriculture, writing (South Arabian script), and
metallurgy.
Kingdom of Aksum (c. 1st-...",f88585105666,10,Aksum; One; South Arabia; Sabaeans; South Arabian,0.9,century
670455a18706_4,1000,1000,1000,10,"nro-Hay, S. C. (1991). Aksum: An African Civilisation of Late Antiquity.
Edinburgh University Press.
[2] Phillipson, D. W. (2012).
Foundations of
an African Civilisation:
Aksum and the Northern Horn,...",670455a18706,10,Africa; Horn; era; era; African,1.0,year
c7541cbc47ce_136,1000,1000,1000,10,"7. Clarendon Press. [3] Marcus, H. G. (2002). A History of Ethiopia.
University of California Press.
[4] Phillipson, D. W. (2012).
Foundations
of an African Civilisation: Aksum and the Northern Horn,...",c7541cbc47ce,10,Zagwe; Ethiopia; Zagwe; Zagwe; Solomonic,1.0,year
